source_id,country,year,gas,latitude,longitude,sector,subsector,asset_type,source_type,annual_emissions_quantity
8252402,VNM,2026,co2,11.143595695000101,107.68815091407153,forestry-and-land-use,forest-land-fires,,gadm-aggregation,87159.6480564399
5171918,VNM,2026,co2,15.388120175000065,107.83729959005383,forestry-and-land-use,forest-land-degradation,,gadm-aggregation,84380.6907378366
1934918,VNM,2026,co2,19.325389,105.806181,transportation,domestic-shipping,,point-source,84314.99085346035
1898113,VNM,2026,co2,21.6983734252896,105.902170681142,manufacturing,cement,integrated dry,point-source,83201.04729729022
8252389,VNM,2026,co2,11.155143261500085,108.09972190873805,forestry-and-land-use,forest-land-fires,,gadm-aggregation,82580.8379500266
5075990,VNM,2026,co2,22.597549438500124,103.68948953638412,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,82211.04820735409
1898135,VNM,2026,co2,20.3360090120993,105.721254649624,manufacturing,cement,integrated dry,point-source,82193.61203398398
55296483,VNM,2026,co2,21.8618454348847,105.221639031797,manufacturing,cement,integrated dry,point-source,81905.21339526825
5075923,VNM,2026,co2,11.561985969000034,107.52643362624275,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,79970.0821126626
1934908,VNM,2026,co2,15.400185,108.791988,transportation,domestic-shipping,,point-source,79762.72028270531
42741868,VNM,2026,co2,20.6514174126175,106.440048297548,manufacturing,iron-and-steel,EAF,point-source,79165.03443339067
3646908,VNM,2026,co2,10.75196409250006,106.51546709826016,transportation,road-transportation,,gadm-aggregation,77308.44162613846
5075837,VNM,2026,co2,15.136090279000115,107.81261276615834,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,76732.3043017437
5073801,VNM,2026,co2,12.060008048500094,107.10758240521139,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,75888.333308298
5076321,VNM,2026,co2,17.898815155000108,106.11843926298648,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,75296.4107612124
8252361,VNM,2026,co2,11.82334799250006,106.60526080031963,forestry-and-land-use,forest-land-fires,,gadm-aggregation,75126.4488191088
5076506,VNM,2026,co2,22.110557556500137,104.72012168715793,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,72654.7046727753
5073919,VNM,2026,co2,14.118004798500095,108.17719107075207,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,72186.83430230731
5076096,VNM,2026,co2,19.062800407000136,104.82502969245624,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,70733.06097701429
3173598,VNM,2026,co2,10.169783,103.99353,transportation,domestic-aviation,domestic,point-source,70505.9537825326
3646962,VNM,2026,co2,21.13674259150011,105.84625172110489,transportation,road-transportation,,gadm-aggregation,69699.89233358963
5076358,VNM,2026,co2,21.392514229000057,107.55777464868443,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,68885.1964486089
8253153,VNM,2026,co2,19.102979660500154,105.22170669257943,forestry-and-land-use,forest-land-fires,,gadm-aggregation,67857.20048843461
5073782,VNM,2026,co2,14.061530589500077,109.06731441730288,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,66773.4099097233
3646947,VNM,2026,co2,21.281893730500087,105.82907990601703,transportation,road-transportation,,gadm-aggregation,66525.37439296905
38902864,VNM,2026,co2,18.836,105.7322,transportation,domestic-shipping,,point-source,66498.7541658429
8252351,VNM,2026,co2,11.48021698000005,107.00450743973852,forestry-and-land-use,forest-land-fires,,gadm-aggregation,65330.3872677774
3165053,VNM,2026,co2,21.038188,107.308317,fossil-fuel-operations,coal-mining,Surface,point-source,64823.36999999998
5076425,VNM,2026,co2,21.786154747500117,105.98488985788231,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,64600.6142842464
2802652,VNM,2026,co2,10.632011,106.746297,transportation,international-shipping,,point-source,64591.74915093896
38891227,VNM,2026,co2,11.8767,109.2283,transportation,international-shipping,,point-source,63723.35376488231
5076365,VNM,2026,co2,21.373498916500097,107.38172108226942,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,63079.312908597
5171899,VNM,2026,co2,17.486874580000006,106.2623088728663,forestry-and-land-use,forest-land-degradation,,gadm-aggregation,61890.8236719813
5076128,VNM,2026,co2,19.317995072500054,105.16497618798445,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,61828.416150231
710400,VNM,2026,co2,21.1325542,106.8080632,fossil-fuel-operations,coal-mining,Underground & Surface,point-source,61582.201499999974
5076376,VNM,2026,co2,17.027153015500005,106.96145932432188,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,61541.036948826004
5076340,VNM,2026,co2,14.714734555000009,108.74120248365665,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,61016.8019284974
5076282,VNM,2026,co2,21.085544586000168,105.19604328099021,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,60532.4345518683
5073741,VNM,2026,co2,21.32667732300007,106.9001123852889,forestry-and-land-use,forest-land-clearing,,gadm-aggregation,60036.267911175
45117940,VNM,2026,co2,20.99082,107.291488,transportation,domestic-shipping,,point-source,59362.097578281624
